,CustomerID,TenureMonths,MonthlyCharges,ContractType,InternetService,PaymentMethod,Churn,Churn_Flag
71,CUST101273,11,71.77,Month-to-month,Fiber optic,Electronic check,no,0
72,CUST105068,3,50.82,Month-to-month,Fiber optic,Credit card,nan,0
73,CUST110019,18,53.8,Two year,No,Bank transfer,nan,0
74,CUST100023,23,62.18,Month-to-month,,Electronic check,no,0
75,CUST109346,20,72.48,One year,DSL,Electronic check,no,0
76,CUST108800,38,70.06,Two year,DSL,Bank transfer,no,0
77,CUST109301,36,56.38,Two year,,Bank transfer,nan,0
78,CUST100575,20,70.06,Month-to-month,Fiber optic,Electronic check,nan,0
79,CUST109414,18,75.65,,Fiber optic,,no,0
80,CUST100887,28,9999.0,One year,Fiber optic,Credit card,no,0
81,CUST106069,20,106.23,Month-to-month,No,Credit card,no,0
82,CUST106198,57,70.06,,Fiber optic,Bank transfer,yes,1
83,CUST104698,4,110.39,One year,No,Electronic check,no,0
84,CUST105370,40,80.31,Month-to-month,DSL,Credit card,no,0
85,CUST101606,19,70.06,Month-to-month,DSL,Mailed check,no,0
86,CUST102123,26,81.64,Two year,No,Mailed check,yes,1
87,CUST109400,62,107.53,One year,Fiber optic,Bank transfer,no,0
88,CUST108485,21,69.14,Two year,Fiber optic,Mailed check,yes,1
89,CUST103801,10,70.08,Month-to-month,Fiber optic,Credit card,no,0
90,CUST109366,9,118.69,One year,Fiber optic,Electronic check,no,0
91,CUST108697,37,70.06,Month-to-month,No,Credit card,no,0
92,CUST107827,51,65.54,One year,Fiber optic,Electronic check,no,0
93,CUST107137,6,40.4,One year,DSL,Mailed check,no,0
94,CUST100044,19,89.28,Month-to-month,Fiber optic,Electronic check,no,0
95,CUST107220,72,28.02,Month-to-month,Fiber optic,Bank transfer,no,0
96,CUST106857,14,70.06,Two year,,Electronic check,no,0
97,CUST107334,13,110.06,Month-to-month,DSL,Electronic check,no,0
98,CUST110794,53,31.27,Month-to-month,No,Mailed check,no,0
99,CUST103093,26,117.87,Two year,Fiber optic,Mailed check,yes,1
100,CUST109877,12,93.3,Two year,DSL,Bank transfer,yes,1
101,CUST102336,65,58.45,Month-to-month,Fiber optic,Electronic check,no,0
102,CUST103601,59,98.01,Month-to-month,Fiber optic,Credit card,no,0
103,CUST109858,11,110.16,Two year,No,Electronic check,yes,1
104,CUST110201,28,90.51,One year,Fiber optic,Credit card,no,0
105,CUST108464,20,97.37,Month-to-month,No,Bank transfer,no,0
106,CUST101354,19,77.73,Two year,Fiber optic,Mailed check,yes,1
107,CUST105317,32,96.87,One year,DSL,Mailed check,no,0
108,CUST108589,24,90.59,Month-to-month,DSL,Electronic check,no,0
109,CUST102422,12,102.03,Month-to-month,DSL,Credit card,no,0
110,CUST102265,4,70.06,Month-to-month,Fiber optic,Bank transfer,no,0
111,CUST109155,19,73.24,Month-to-month,DSL,Mailed check,yes,1
112,CUST108035,14,21.79,One year,No,Mailed check,no,0
113,CUST100973,7,119.96,Two year,Fiber optic,Electronic check,no,0
114,CUST109615,20,37.81,One year,No,Electronic check,no,0
115,CUST102266,10,68.56,Month-to-month,Fiber optic,Mailed check,yes,1
116,CUST110463,13,69.38,Two year,Fiber optic,Electronic check,no,0
117,CUST104781,36,94.22,One year,Fiber optic,Mailed check,no,0
118,CUST107151,20,70.32,Month-to-month,Fiber optic,Credit card,no,0
119,CUST108990,27,22.22,Month-to-month,DSL,Credit card,no,0
120,CUST104583,20,62.94,One year,No,Credit card,no,0
121,CUST105765,4,77.44,Month-to-month,Fiber optic,,yes,1
122,CUST100747,2,77.19,One year,Fiber optic,Credit card,no,0
123,CUST105290,46,74.87,Month-to-month,DSL,Mailed check,no,0
124,CUST101249,68,66.53,One year,Fiber optic,electronic check,no,0
125,CUST110725,14,35.99,Month-to-month,DSL,Electronic check,no,0
126,CUST107252,10,112.59,month to month,DSL,Electronic check,yes,1
127,CUST109416,13,56.12,Two year,,Electronic check,yes,1
128,CUST100007,0,101.81,One year,DSL,Mailed check,no,0
129,CUST106395,21,69.33,One year,DSL,Mailed check,yes,1
130,CUST105760,33,107.13,Two year,Fiber optic,Credit card,yes,1
131,CUST100623,23,84.85,One year,DSL,Electronic check,no,0
132,CUST100523,30,9999.0,Month-to-month,DSL,Electronic check,yes,1
133,CUST104297,23,30.13,Month-to-month,Fiber optic,Electronic check,no,0
134,CUST101905,18,70.06,Month-to-month,Fiber optic,Electronic check,no,0
135,CUST109152,20,81.09,One year,Fiber optic,Credit card,no,0
136,CUST101106,20,66.74,Two year,Fiber optic,Mailed check,no,0
137,CUST108685,72,81.62,One year,No,Bank transfer,yes,1
138,CUST105701,30,29.48,Two year,No,Mailed check,no,0
139,CUST101116,20,57.2,Month-to-month,DSL,Electronic check,yes,1
140,CUST101024,27,54.96,Month-to-month,No,Mailed check,no,0
141,CUST102639,45,28.75,month to month,No,Bank transfer,no,0
142,CUST106677,6,43.03,Two year,DSL,Mailed check,no,0
143,CUST100931,22,27.94,Two year,DSL,Electronic check,yes,1
144,CUST100351,53,106.57,Month-to-month,Fiber optic,Bank transfer,yes,1
145,CUST110905,33,32.21,Month-to-month,Fiber optic,Bank transfer,no,0
146,CUST109056,82,117.94,Two year,DSL,,yes,1
147,CUST105302,37,101.54,One year,Fiber optic,Electronic check,nan,0
148,CUST110881,29,103.44,Month-to-month,DSL,Bank transfer,no,0
149,CUST107990,15,94.83,Month-to-month,DSL,Mailed check,no,0
150,CUST109722,4,94.23,Month-to-month,Fiber optic,Electronic check,no,0
151,CUST106931,36,82.0,One year,DSL,Credit card,yes,1
152,CUST100140,11,119.81,Two year,Fiber optic,Credit card,yes,1
153,CUST109696,45,88.67,Month-to-month,Fiber optic,Mailed check,no,0
154,CUST109765,16,27.83,Month-to-month,No,Credit card,no,0
155,CUST107590,19,111.03,Two year,Fiber optic,Electronic check,yes,1
156,CUST110365,25,105.11,One year,,Electronic check,yes,1
157,CUST106113,6,70.06,Two year,DSL,Bank transfer,yes,1
158,CUST101971,20,70.06,Month-to-month,DSL,,no,0
159,CUST107506,11,93.34,Two year,DSL,Electronic check,no,0
160,CUST100242,47,45.96,Month-to-month,No,,no,0
161,CUST100186,20,34.66,Month-to-month,Fiber optic,Credit card,no,0
162,CUST105787,27,55.39,Month-to-month,Fiber optic,Credit card,no,0
163,CUST102442,1,83.63,Two year,Fiber optic,Credit card,nan,0
164,CUST102208,57,25.22,Two year,No,Bank transfer,no,0
165,CUST101873,42,33.23,Two year,Fiber optic,Electronic check,yes,1
166,CUST106827,5,103.09,One year,No,Credit card,no,0
167,CUST105927,17,118.3,One year,DSL,Bank transfer,no,0
168,CUST105761,10,85.41,Two year,DSL,Electronic check,yes,1
169,CUST101763,37,90.51,,Fiber optic,Mailed check,no,0
170,CUST107802,21,40.12,Month-to-month,DSL,Mailed check,yes,1
171,CUST102924,20,43.06,Month-to-month,Fiber optic,Electronic check,no,0
172,CUST107494,21,102.46,Month-to-month,No,Bank transfer,no,0
173,CUST103235,1,118.58,Month-to-month,DSL,,yes,1
174,CUST110850,35,101.24,,Fiber optic,Mailed check,no,0
175,CUST100878,16,50.94,Month-to-month,Fiber optic,Credit card,yes,1
176,CUST102584,52,68.05,,Fiber optic,,no,0
177,CUST104458,12,48.08,Two year,Fiber optic,Mailed check,no,0
178,CUST104642,12,112.43,Month-to-month,No,Credit card,yes,1
179,CUST104121,20,87.85,One year,DSL,Electronic check,no,0
180,CUST102470,34,118.8,Month-to-month,DSL,Bank transfer,no,0
181,CUST105659,2,81.64,One year,DSL,Electronic check,nan,0
182,CUST103068,13,36.96,One year,Fiber optic,Mailed check,yes,1
183,CUST110573,12,70.06,Month-to-month,DSL,Credit card,yes,1
184,CUST110229,0,99.14,Two year,Fiber optic,Credit card,no,0
185,CUST107276,16,61.07,Month-to-month,DSL,,no,0
186,CUST106872,16,105.43,Month-to-month,DSL,Bank transfer,no,0
187,CUST100591,16,81.21,Month-to-month,,Credit card,no,0
188,CUST101127,49,98.3,Two year,Fiber optic,Mailed check,no,0
189,CUST102403,30,55.41,month to month,Fiber optic,Credit card,no,0
190,CUST109880,10,22.93,Month-to-month,DSL,Mailed check,no,0
191,CUST103400,17,23.54,Two year,,,no,0
192,CUST105816,46,24.73,One year,Fiber optic,Electronic check,no,0
193,CUST109300,20,69.38,One year,Fiber optic,Mailed check,no,0
194,CUST109543,40,91.54,One year,DSL,Electronic check,yes,1
195,CUST110776,4,118.19,One year,DSL,Credit card,no,0
196,CUST109384,19,49.13,,No,Credit card,nan,0
197,CUST103210,97,27.86,Month-to-month,Fiber optic,Electronic check,yes,1
198,CUST110701,64,41.05,Month-to-month,,Credit card,yes,1
199,CUST103677,24,9999.0,Two year,No,Electronic check,no,0
200,CUST108373,33,74.06,Month-to-month,DSL,Mailed check,nan,0
201,CUST104195,19,72.53,Month-to-month,DSL,Bank transfer,yes,1
202,CUST110234,11,94.58,Month-to-month,Fiber optic,electronic check,no,0
203,CUST104423,7,42.65,Month-to-month,DSL,Mailed check,no,0
204,CUST104294,22,70.06,Month-to-month,DSL,Bank transfer,no,0
205,CUST103641,9,57.41,Month-to-month,No,Credit card,no,0
206,CUST103936,20,49.29,One year,Fiber optic,Electronic check,no,0
207,CUST103312,7,50.05,Month-to-month,No,Bank transfer,yes,1
208,CUST109541,14,43.19,Month-to-month,Fiber optic,Credit card,no,0
209,CUST109018,4,80.07,Month-to-month,No,Mailed check,no,0
210,CUST109386,5,119.46,One year,No,Credit card,no,0
211,CUST104982,27,41.73,Month-to-month,No,Mailed check,no,0
212,CUST105752,16,20.95,Two year,No,,no,0
213,CUST101188,22,90.49,Month-to-month,Fiber optic,Credit card,no,0
214,CUST101821,15,60.57,Month-to-month,No,Bank transfer,no,0
215,CUST103501,15,30.87,Two year,DSL,Electronic check,yes,1
216,CUST107733,16,71.89,One year,Fiber optic,Mailed check,no,0
217,CUST102027,6,31.18,Month-to-month,Fiber optic,Bank transfer,no,0
218,CUST104443,4,60.59,Month-to-month,DSL,,no,0
219,CUST101885,20,89.89,Month-to-month,Fiber optic,Electronic check,no,0
220,CUST100901,49,60.87,Month-to-month,No,Bank transfer,no,0
221,CUST106150,38,100.08,Month-to-month,DSL,Electronic check,yes,1
222,CUST107828,14,106.45,One year,Fiber optic,Mailed check,no,0
223,CUST108998,14,85.37,Two year,No,Credit card,yes,1
224,CUST104406,77,53.1,Month-to-month,No,Mailed check,no,0
225,CUST107319,20,106.92,Two year,Fiber optic,Bank transfer,no,0
226,CUST105084,31,78.08,Month-to-month,Fiber optic,Credit card,no,0
227,CUST106341,11,93.63,Two year,,Mailed check,no,0
228,CUST102259,7,22.7,One year,Fiber optic,Mailed check,yes,1
229,CUST107565,33,61.99,Month-to-month,No,Mailed check,no,0
230,CUST109978,12,76.05,Month-to-month,Fiber optic,,no,0
231,CUST104569,37,88.69,One year,DSL,Electronic check,no,0
232,CUST108361,10,38.19,Two year,DSL,Bank transfer,no,0
233,CUST100356,10,54.73,Two year,Fiber optic,Electronic check,no,0
234,CUST109135,26,83.1,Month-to-month,,Mailed check,no,0
235,CUST110526,34,23.18,One year,No,Mailed check,yes,1
236,CUST100035,38,62.51,Month-to-month,No,Credit card,nan,0
237,CUST100032,11,72.55,Month-to-month,Fiber optic,Credit card,no,0
238,CUST110868,20,42.39,Month-to-month,DSL,Electronic check,no,0
239,CUST100299,8,70.06,Two year,Fiber optic,Credit card,yes,1
240,CUST105283,36,62.53,One year,No,Electronic check,no,0
241,CUST102802,16,27.42,One year,No,Electronic check,no,0
242,CUST101564,63,70.06,Month-to-month,No,Electronic check,no,0
243,CUST109365,39,119.75,Two year,,Bank transfer,no,0
244,CUST100696,5,70.11,Two year,DSL,Electronic check,no,0
245,CUST101931,67,48.27,Month-to-month,DSL,Credit card,no,0
246,CUST101566,26,33.23,One year,DSL,Electronic check,no,0
247,CUST105551,20,39.56,Month-to-month,Fiber optic,Bank transfer,no,0
248,CUST102893,45,70.13,Month-to-month,DSL,Mailed check,no,0
249,CUST109184,44,109.54,month to month,No,Mailed check,yes,1
250,CUST109974,3,80.13,Month-to-month,DSL,Credit card,no,0
251,CUST104528,20,105.15,Month-to-month,Fiber optic,Mailed check,no,0
252,CUST107222,55,51.7,Month-to-month,DSL,Mailed check,no,0
253,CUST106940,11,42.65,Month-to-month,DSL,Electronic check,no,0
254,CUST107603,23,89.98,,Fiber optic,Electronic check,no,0
255,CUST107938,27,51.83,Month-to-month,Fiber optic,Bank transfer,yes,1
256,CUST102122,45,42.35,Month-to-month,No,Bank transfer,yes,1
257,CUST102286,25,26.83,Two year,Fiber optic,Electronic check,no,0
258,CUST106758,59,22.97,Month-to-month,DSL,,yes,1
259,CUST107830,20,25.46,Month-to-month,Fiber optic,,yes,1
260,CUST107845,30,23.04,One year,DSL,Bank transfer,nan,0
261,CUST109868,6,86.54,One year,No,electronic check,no,0
262,CUST110202,9,98.11,Month-to-month,No,Electronic check,no,0
263,CUST103393,14,70.06,One year,Fiber optic,Electronic check,no,0
264,CUST109664,20,53.43,Month-to-month,Fiber optic,Bank transfer,yes,1
265,CUST100207,17,113.99,Month-to-month,DSL,Credit card,no,0
266,CUST102501,12,37.53,One year,No,Bank transfer,no,0
267,CUST107162,37,77.25,Month-to-month,Fiber optic,Electronic check,no,0
268,CUST106168,13,57.25,One year,Fiber optic,Mailed check,yes,1
269,CUST108547,36,70.44,Two year,No,Mailed check,no,0
270,CUST101892,12,73.4,Two year,No,Mailed check,yes,1
271,CUST104235,29,46.79,One year,Fiber optic,Electronic check,no,0
272,CUST109636,22,28.0,Month-to-month,DSL,Mailed check,no,0
273,CUST103205,11,70.06,Month-to-month,No,Bank transfer,yes,1
274,CUST103237,46,71.65,Month-to-month,Fiber optic,Credit card,yes,1
275,CUST103057,20,42.48,Month-to-month,DSL,Bank transfer,no,0
276,CUST108848,19,31.87,Month-to-month,Fiber optic,Bank transfer,nan,0
277,CUST101906,9,92.15,Two year,Fiber optic,electronic check,no,0
278,CUST102384,15,105.32,Month-to-month,DSL,Electronic check,no,0
279,CUST101582,12,93.24,Month-to-month,Fiber optic,Bank transfer,no,0
280,CUST108393,19,70.07,Month-to-month,Fiber optic,Mailed check,no,0
281,CUST100791,44,101.79,One year,DSL,Mailed check,yes,1
282,CUST104719,27,42.69,Month-to-month,Fiber optic,Mailed check,no,0
283,CUST100178,19,32.63,Two year,No,Electronic check,yes,1
284,CUST110971,45,67.77,Month-to-month,No,Credit card,yes,1
285,CUST108578,33,104.35,Month-to-month,Fiber optic,Mailed check,no,0
286,CUST103880,20,70.76,Month-to-month,DSL,Electronic check,no,0
287,CUST101576,57,58.4,One year,DSL,Credit card,yes,1
288,CUST102120,20,89.07,One year,Fiber optic,Credit card,no,0
289,CUST100938,29,70.06,Month-to-month,DSL,Mailed check,no,0
290,CUST105252,35,58.83,Month-to-month,DSL,Mailed check,yes,1
291,CUST107624,21,62.76,One year,Fiber optic,Bank transfer,no,0
292,CUST105866,42,61.02,Month-to-month,DSL,,no,0
293,CUST102200,24,106.2,,Fiber optic,Mailed check,no,0
294,CUST106390,20,88.66,One year,DSL,Mailed check,no,0
295,CUST101768,33,31.1,Month-to-month,DSL,Electronic check,nan,0
296,CUST101627,52,81.38,Month-to-month,No,Electronic check,no,0
297,CUST104148,20,50.55,Month-to-month,Fiber optic,Electronic check,no,0
298,CUST110848,47,31.03,Month-to-month,No,Electronic check,yes,1
299,CUST106139,45,73.01,Two year,Fiber optic,,no,0
300,CUST106406,24,31.88,month to month,DSL,Mailed check,yes,1
301,CUST108656,31,39.53,,,Credit card,nan,0
302,CUST107311,12,54.52,Two year,Fiber optic,Mailed check,no,0
303,CUST106389,20,71.62,One year,Fiber optic,Credit card,yes,1
304,CUST101289,62,80.19,Month-to-month,No,Credit card,no,0
305,CUST110011,10,40.83,Month-to-month,Fiber optic,Mailed check,no,0
306,CUST106912,9,96.66,Month-to-month,Fiber optic,Credit card,no,0
307,CUST105794,30,113.95,One year,No,Electronic check,no,0
308,CUST103609,30,82.54,Two year,Fiber optic,Mailed check,yes,1
309,CUST106699,27,116.64,Month-to-month,DSL,Mailed check,no,0
310,CUST104603,12,71.22,Two year,Fiber optic,Bank transfer,yes,1
311,CUST101677,14,105.96,One year,No,Electronic check,no,0
312,CUST103731,8,55.76,Month-to-month,DSL,Mailed check,no,0
313,CUST104693,3,113.93,Month-to-month,DSL,Mailed check,no,0
314,CUST104131,7,58.49,Month-to-month,Fiber optic,Mailed check,nan,0
315,CUST110886,6,58.9,One year,DSL,Electronic check,yes,1
316,CUST109187,20,56.87,One year,No,Bank transfer,no,0
317,CUST108220,15,114.45,Month-to-month,Fiber optic,Bank transfer,no,0
318,CUST110392,20,79.06,One year,Fiber optic,Mailed check,yes,1
319,CUST109033,10,43.42,Month-to-month,Fiber optic,Mailed check,no,0
320,CUST104791,12,70.06,Month-to-month,Fiber optic,Electronic check,no,0
321,CUST100892,20,60.93,Month-to-month,No,Electronic check,no,0
322,CUST108936,21,77.72,Month-to-month,No,Electronic check,no,0
323,CUST105067,7,27.63,One year,DSL,Credit card,no,0
324,CUST103522,17,90.4,Month-to-month,DSL,Credit card,nan,0
325,CUST106608,30,110.91,Two year,Fiber optic,Electronic check,no,0
326,CUST101443,36,81.9,Month-to-month,No,Mailed check,yes,1
327,CUST108594,15,20.97,Month-to-month,No,Electronic check,yes,1
328,CUST104434,34,70.06,Month-to-month,Fiber optic,Bank transfer,no,0
329,CUST107540,14,72.65,One year,Fiber optic,electronic check,yes,1
330,CUST102439,25,36.71,Month-to-month,No,,yes,1
331,CUST102184,12,48.74,Month-to-month,DSL,Electronic check,yes,1
332,CUST105999,21,67.74,Month-to-month,DSL,Electronic check,yes,1
333,CUST107707,10,45.83,Two year,No,Mailed check,nan,0
334,CUST101923,50,24.44,Month-to-month,Fiber optic,Credit card,nan,0
335,CUST104687,14,96.6,month to month,DSL,,no,0
336,CUST102923,8,115.43,Month-to-month,Fiber optic,Mailed check,no,0
337,CUST100102,16,89.03,One year,Fiber optic,electronic check,yes,1
338,CUST100075,5,40.12,Two year,Fiber optic,Electronic check,no,0
339,CUST107487,51,108.52,One year,DSL,Electronic check,no,0
340,CUST110732,34,57.83,Month-to-month,Fiber optic,Bank transfer,yes,1
341,CUST108835,43,55.4,One year,Fiber optic,Credit card,no,0
342,CUST105062,25,97.2,Month-to-month,Fiber optic,Electronic check,no,0
343,CUST108467,20,50.46,Month-to-month,DSL,Credit card,yes,1
344,CUST109497,36,116.82,Two year,No,,nan,0
345,CUST110268,7,70.06,Month-to-month,Fiber optic,Credit card,no,0
346,CUST110441,16,70.06,Two year,DSL,Mailed check,nan,0
347,CUST105815,51,73.78,,No,Credit card,yes,1
348,CUST108241,19,78.67,Month-to-month,No,Electronic check,no,0
349,CUST101440,19,83.14,Two year,Fiber optic,Credit card,no,0
350,CUST100889,20,41.94,Month-to-month,DSL,Credit card,yes,1
351,CUST102801,6,106.53,Month-to-month,DSL,Credit card,yes,1
352,CUST102888,30,30.38,Month-to-month,,Mailed check,no,0
353,CUST107188,15,36.95,Month-to-month,No,Electronic check,no,0
354,CUST101883,23,108.45,Two year,Fiber optic,Bank transfer,no,0
355,CUST105438,9,45.19,Month-to-month,Fiber optic,Credit card,yes,1
356,CUST106391,20,36.81,One year,DSL,Mailed check,no,0
357,CUST106816,3,101.78,Two year,Fiber optic,Bank transfer,no,0
358,CUST107642,9,114.12,Month-to-month,Fiber optic,Credit card,no,0
359,CUST107074,7,56.58,Two year,DSL,Bank transfer,no,0
360,CUST103730,14,86.78,Month-to-month,Fiber optic,Mailed check,no,0
361,CUST100846,40,109.5,Two year,DSL,Credit card,no,0
362,CUST103714,15,72.72,One year,DSL,Credit card,no,0
363,CUST108426,43,73.5,Two year,No,,no,0
364,CUST102941,23,119.12,,,Credit card,no,0
365,CUST107771,17,29.02,Two year,Fiber optic,Electronic check,yes,1
366,CUST107881,20,75.96,Two year,Fiber optic,Bank transfer,yes,1
367,CUST102039,24,95.22,Month-to-month,Fiber optic,Credit card,no,0
368,CUST102613,19,44.7,Month-to-month,DSL,Credit card,yes,1
369,CUST103733,8,75.5,Month-to-month,Fiber optic,Credit card,no,0
370,CUST110097,20,70.06,Two year,No,Bank transfer,yes,1
371,CUST103993,13,41.48,One year,DSL,Mailed check,yes,1
372,CUST106089,19,51.29,Month-to-month,DSL,Bank transfer,no,0
373,CUST104100,24,69.46,Month-to-month,Fiber optic,Mailed check,yes,1
374,CUST106046,13,34.22,Two year,Fiber optic,Electronic check,no,0
375,CUST100631,17,82.41,Month-to-month,Fiber optic,Bank transfer,yes,1
376,CUST101909,0,45.56,Month-to-month,Fiber optic,Credit card,yes,1
377,CUST105336,15,74.26,One year,DSL,Electronic check,no,0
378,CUST100181,17,103.37,Month-to-month,Fiber optic,Mailed check,no,0
379,CUST100099,20,70.02,Month-to-month,Fiber optic,Mailed check,no,0
380,CUST106701,12,89.52,Month-to-month,Fiber optic,Bank transfer,nan,0
381,CUST110105,4,61.2,Two year,Fiber optic,Electronic check,yes,1
382,CUST105073,20,41.19,One year,Fiber optic,Credit card,yes,1
383,CUST110777,18,109.97,Month-to-month,Fiber optic,,no,0
384,CUST101485,8,70.81,Two year,Fiber optic,Bank transfer,yes,1
385,CUST102516,8,49.89,One year,Fiber optic,Bank transfer,no,0
386,CUST105513,60,75.7,Month-to-month,Fiber optic,Electronic check,yes,1
387,CUST105557,0,98.88,One year,DSL,Mailed check,yes,1
388,CUST110633,20,77.98,Month-to-month,Fiber optic,Electronic check,no,0
389,CUST103134,32,68.45,Two year,Fiber optic,Electronic check,no,0
390,CUST108807,14,84.3,Month-to-month,DSL,Credit card,no,0
391,CUST109983,9,84.57,,Fiber optic,Bank transfer,no,0
392,CUST107548,10,72.57,Month-to-month,DSL,Credit card,no,0
393,CUST106710,64,70.06,One year,,Electronic check,nan,0
394,CUST107368,38,99.59,Month-to-month,Fiber optic,Credit card,no,0
395,CUST104798,6,47.31,,Fiber optic,Bank transfer,yes,1
396,CUST100907,4,39.61,One year,DSL,Bank transfer,no,0
397,CUST104382,73,87.88,Two year,No,Mailed check,no,0
398,CUST105575,14,70.06,Two year,Fiber optic,Credit card,no,0
399,CUST110532,37,117.78,Month-to-month,No,,yes,1
400,CUST108816,20,54.17,One year,No,Credit card,no,0
401,CUST109055,21,116.41,Two year,Fiber optic,Electronic check,no,0
402,CUST101471,14,102.77,Month-to-month,Fiber optic,Mailed check,no,0
403,CUST108841,15,9999.0,One year,No,Bank transfer,no,0
404,CUST100547,31,49.63,Two year,DSL,Electronic check,no,0
405,CUST107119,10,29.66,month to month,Fiber optic,Mailed check,no,0
406,CUST101047,15,115.75,Month-to-month,Fiber optic,Bank transfer,no,0
407,CUST110840,18,114.55,Two year,Fiber optic,Credit card,no,0
408,CUST109423,73,56.01,One year,DSL,Bank transfer,no,0
