CustomerID,TenureMonths,MonthlyCharges,ContractType,InternetService,PaymentMethod,Churn
CUST107458,43.0,117.79,Month-to-month,DSL,Credit card, yes
CUST100706,4.0,29.52,month to month,Fiber optic,,No
CUST107088,30.0,67.87,One year,DSL,Mailed check,No
CUST110261,20.0,33.91,Month-to-month,Fiber optic,Credit card,No
CUST106671,6.0,25.23,Two year,Fiber optic,Credit card,No
CUST100020,35.0,98.71,,No,Electronic check,No
CUST106570,20.0,,One year,DSL,Credit card,No
CUST106551,25.0,88.22,Two year,Fiber optic,Electronic check,No
CUST102473,19.0,77.58,Month-to-month,,Electronic check,No
CUST109715,32.0,42.79,month to month,Fiber optic,,No
CUST104815,4.0,106.31,One year,Fiber optic,Electronic check,No
CUST101574,16.0,80.73,Month-to-month,DSL,Electronic check,Yes
CUST109697,5.0,116.3,Month-to-month,DSL,Credit card,No
CUST101981,6.0,36.01,Two year,Fiber optic,Credit card,No
CUST102874,38.0,57.87,Two year,Fiber optic,Electronic check,
CUST105318,27.0,118.38,month to month,DSL,Credit card,Yes
CUST104322,26.0,65.6,Two year,Fiber optic,Credit card,No
CUST102711,13.0,50.79,,DSL,Credit card,No
CUST108217,9.0,50.88,,DSL,Electronic check,Yes
CUST103053,10.0,86.13,Month-to-month,DSL,Mailed check,Yes
CUST105980,23.0,,Month-to-month,Fiber optic,Electronic check,No
CUST110709,14.0,115.49,One year,DSL,Mailed check,
CUST109371,15.0,65.23,One year,DSL,Mailed check,No
CUST109134,11.0,105.36,Two year,DSL,Bank transfer,Yes
CUST110120,49.0,99.81,Two year,Fiber optic, electronic check ,No
CUST102496,,101.08,One year,No,Mailed check,No
CUST108370,22.0,61.57,Two year,DSL,Bank transfer,No
CUST102778,20.0,71.93,Month-to-month,No,Mailed check,Yes
CUST104453,11.0,66.54,Month-to-month,DSL,Electronic check,No
CUST101953,6.0,103.68,Month-to-month,Fiber optic,Bank transfer,Yes
CUST110132,13.0,unknown,Month-to-month,Fiber optic,Electronic check,
CUST108378,,76.6,Month-to-month,DSL,Electronic check,No
CUST104367,25.0,104.09,One year,Fiber optic,Electronic check,No
CUST100732,24.0,38.59,One year,DSL,Bank transfer,No
CUST106918,4.0,34.9,Month-to-month,No,,No
CUST102191,26.0,,Month-to-month,DSL,Credit card,No
CUST109981,57.0,102.6,Month-to-month,Fiber optic,Mailed check,No
CUST108239,9.0,22.5,One year,DSL,Bank transfer,No
CUST106072,25.0,73.49,Month-to-month,Fiber optic,Credit card,No
CUST105251,45.0,53.56,Month-to-month,Fiber optic,Mailed check,No
CUST107341,26.0,66.41,month to month,DSL,Electronic check,NO 
CUST109811,17.0,108.35,Month-to-month,DSL,Credit card,No
CUST101273,11.0,71.77,Month-to-month,Fiber optic,Electronic check,No
CUST105068,3.0,50.82,Month-to-month,Fiber optic,Credit card,
CUST110019,18.0,53.8,Two year,No,Bank transfer,
CUST100023,23.0,62.18,Month-to-month,,Electronic check,No
CUST109346,20.0,72.48,One year,DSL,Electronic check,No
CUST108800,38.0,70.06,Two year,DSL,Bank transfer,No
CUST109301,36.0,56.38,Two year,,Bank transfer,
CUST100575,20.0,,Month-to-month,Fiber optic,Electronic check,
CUST109414,18.0,75.65,,Fiber optic,,No
CUST100887,28.0,9999.0,One year,Fiber optic,Credit card,No
CUST106069,20.0,106.23,Month-to-month,No,Credit card,No
CUST106198,57.0,,,Fiber optic,Bank transfer,Yes
CUST104698,4.0,110.39,One year,No,Electronic check,No
CUST105370,40.0,80.31,Month-to-month,DSL,Credit card,No
CUST101606,19.0,,Month-to-month,DSL,Mailed check,No
CUST102123,26.0,81.64,Two year,No,Mailed check,Yes
CUST109400,62.0,107.53,One year,Fiber optic,Bank transfer,No
CUST108485,21.0,69.14,Two year,Fiber optic,Mailed check,Yes
CUST103801,10.0,70.08,Month-to-month,Fiber optic,Credit card,No
CUST109366,9.0,118.69,One year,Fiber optic,Electronic check,No
CUST108697,37.0,,Month-to-month,No,Credit card,No
CUST107827,51.0,65.54,One year,Fiber optic,Electronic check,No
CUST107137,6.0,40.4,One year,DSL,Mailed check,No
CUST100044,19.0,89.28,Month-to-month,Fiber optic,Electronic check,No
CUST107220,72.0,28.02,Month-to-month,Fiber optic,Bank transfer,No
CUST106857,14.0,,Two year,,Electronic check,No
CUST107334,13.0,110.06,Month-to-month,DSL,Electronic check,No
CUST110794,53.0,31.27,Month-to-month,No,Mailed check,No
CUST103093,26.0,117.87,Two year,Fiber optic,Mailed check,Yes
CUST109877,12.0,93.3,Two year,DSL,Bank transfer,Yes
CUST102336,65.0,58.45,Month-to-month,Fiber optic,Electronic check,No
CUST103601,59.0,98.01,Month-to-month,Fiber optic,Credit card,No
CUST109858,11.0,110.16,Two year,No,Electronic check,Yes
CUST110201,28.0,90.51,One year,Fiber optic,Credit card,No
CUST108464,,97.37,Month-to-month,No,Bank transfer,No
CUST101354,19.0,77.73,Two year,Fiber optic,Mailed check,Yes
CUST105317,32.0,96.87,One year,DSL,Mailed check,No
CUST108589,24.0,90.59,Month-to-month,DSL,Electronic check,No
CUST102422,12.0,102.03,Month-to-month,DSL,Credit card,No
CUST102265,4.0,,Month-to-month,Fiber optic,Bank transfer,No
CUST109155,19.0,73.24,Month-to-month,DSL,Mailed check,Yes
CUST108035,14.0,21.79,One year,No,Mailed check,NO 
CUST100973,7.0,119.96,Two year,Fiber optic,Electronic check,No
CUST109615,N/A,37.81,One year,No,Electronic check,No
CUST102266,10.0,68.56,Month-to-month,Fiber optic,Mailed check,Yes
CUST110463,13.0,69.38,Two year,Fiber optic,Electronic check,No
CUST104781,36.0,94.22,One year,Fiber optic,Mailed check,NO 
CUST107151,,70.32,Month-to-month,Fiber optic,Credit card,No
CUST108990,27.0,22.22,Month-to-month,DSL,Credit card,No
CUST104583,N/A,62.94,One year,No,Credit card,No
CUST105765,4.0,77.44,Month-to-month,Fiber optic,,Yes
CUST100747,2.0,77.19,One year,Fiber optic,Credit card,No
CUST105290,46.0,74.87,Month-to-month,DSL,Mailed check,No
CUST101249,68.0,66.53,One year,Fiber optic, electronic check ,No
CUST110725,14.0,35.99,Month-to-month,DSL,Electronic check,No
CUST107252,10.0,112.59,month to month,DSL,Electronic check,Yes
CUST109416,13.0,56.12,Two year,,Electronic check,Yes
CUST100007,0.0,101.81,One year,DSL,Mailed check,No
CUST106395,21.0,69.33,One year,DSL,Mailed check,Yes
CUST105760,33.0,107.13,Two year,Fiber optic,Credit card,Yes
CUST100623,23.0,84.85,One year,DSL,Electronic check,No
CUST100523,30.0,9999.0,Month-to-month,DSL,Electronic check,Yes
CUST104297,23.0,30.13,Month-to-month,Fiber optic,Electronic check,No
CUST101905,18.0,,Month-to-month,Fiber optic,Electronic check,NO 
CUST109152,20.0,81.09,One year,Fiber optic,Credit card,No
CUST101106,,66.74,Two year,Fiber optic,Mailed check,No
CUST108685,72.0,81.62,One year,No,Bank transfer,Yes
CUST105701,30.0,29.48,Two year,No,Mailed check,No
CUST101116,,57.2,Month-to-month,DSL,Electronic check,Yes
CUST101024,27.0,54.96,Month-to-month,No,Mailed check,No
CUST102639,45.0,28.75,month to month,No,Bank transfer,No
CUST106677,6.0,43.03,Two year,DSL,Mailed check,No
CUST100931,22.0,27.94,Two year,DSL,Electronic check,Yes
CUST100351,53.0,106.57,Month-to-month,Fiber optic,Bank transfer, yes
CUST110905,33.0,32.21,Month-to-month,Fiber optic,Bank transfer,No
CUST109056,82.0,117.94,Two year,DSL,,Yes
CUST105302,37.0,101.54,One year,Fiber optic,Electronic check,
CUST110881,29.0,103.44,Month-to-month,DSL,Bank transfer,No
CUST107990,15.0,94.83,Month-to-month,DSL,Mailed check,No
CUST109722,4.0,94.23,Month-to-month,Fiber optic,Electronic check,No
CUST106931,36.0,82.0,One year,DSL,Credit card,Yes
CUST100140,11.0,119.81,Two year,Fiber optic,Credit card, yes
CUST109696,45.0,88.67,Month-to-month,Fiber optic,Mailed check,No
CUST109765,16.0,27.83,Month-to-month,No,Credit card,No
CUST107590,19.0,111.03,Two year,Fiber optic,Electronic check,Yes
CUST110365,25.0,105.11,One year,,Electronic check,Yes
CUST106113,6.0,,Two year,DSL,Bank transfer,Yes
CUST101971,20.0,,Month-to-month,DSL,,No
CUST107506,11.0,93.34,Two year,DSL,Electronic check,No
CUST100242,47.0,45.96,Month-to-month,No,,No
CUST100186,,34.66,Month-to-month,Fiber optic,Credit card,No
CUST105787,27.0,55.39,Month-to-month,Fiber optic,Credit card,No
CUST102442,1.0,83.63,Two year,Fiber optic,Credit card,
CUST102208,57.0,25.22,Two year,No,Bank transfer,No
CUST101873,42.0,33.23,Two year,Fiber optic,Electronic check, yes
CUST106827,5.0,103.09,One year,No,Credit card,No
CUST105927,17.0,118.3,One year,DSL,Bank transfer,No
CUST105761,10.0,85.41,Two year,DSL,Electronic check,Yes
CUST101763,37.0,90.51,,Fiber optic,Mailed check,No
CUST107802,21.0,40.12,Month-to-month,DSL,Mailed check,Yes
CUST102924,,43.06,Month-to-month,Fiber optic,Electronic check,No
CUST107494,21.0,102.46,Month-to-month,No,Bank transfer,No
CUST103235,1.0,118.58,Month-to-month,DSL,,Yes
CUST110850,35.0,101.24,,Fiber optic,Mailed check,No
CUST100878,16.0,50.94,Month-to-month,Fiber optic,Credit card,Yes
CUST102584,52.0,68.05,,Fiber optic,,No
CUST104458,12.0,48.08,Two year,Fiber optic,Mailed check,No
CUST104642,12.0,112.43,Month-to-month,No,Credit card,Yes
CUST104121,,87.85,One year,DSL,Electronic check,No
CUST102470,34.0,118.8,Month-to-month,DSL,Bank transfer,No
CUST105659,2.0,81.64,One year,DSL,Electronic check,
CUST103068,13.0,36.96,One year,Fiber optic,Mailed check,Yes
CUST110573,12.0,,Month-to-month,DSL,Credit card,Yes
CUST110229,0.0,99.14,Two year,Fiber optic,Credit card,No
CUST107276,16.0,61.07,Month-to-month,DSL,,No
CUST106872,16.0,105.43,Month-to-month,DSL,Bank transfer,No
CUST100591,16.0,81.21,Month-to-month,,Credit card,No
CUST101127,49.0,98.3,Two year,Fiber optic,Mailed check,No
CUST102403,30.0,55.41,month to month,Fiber optic,Credit card,No
CUST109880,10.0,22.93,Month-to-month,DSL,Mailed check,No
CUST103400,17.0,23.54,Two year,,,No
CUST105816,46.0,24.73,One year,Fiber optic,Electronic check,No
CUST109300,N/A,69.38,One year,Fiber optic,Mailed check,No
CUST109543,40.0,91.54,One year,DSL,Electronic check,Yes
CUST110776,4.0,118.19,One year,DSL,Credit card,No
CUST109384,19.0,49.13,,No,Credit card,
CUST103210,97.0,27.86,Month-to-month,Fiber optic,Electronic check,Yes
CUST110701,64.0,41.05,Month-to-month,,Credit card,Yes
CUST103677,24.0,9999.0,Two year,No,Electronic check,No
CUST108373,33.0,74.06,Month-to-month,DSL,Mailed check,
CUST104195,19.0,72.53,Month-to-month,DSL,Bank transfer,Yes
CUST110234,11.0,94.58,Month-to-month,Fiber optic, electronic check ,No
CUST104423,7.0,42.65,Month-to-month,DSL,Mailed check,No
CUST104294,22.0,,Month-to-month,DSL,Bank transfer,NO 
CUST103641,9.0,57.41,Month-to-month,No,Credit card,No
CUST103936,,49.29,One year,Fiber optic,Electronic check,No
CUST103312,7.0,50.05,Month-to-month,No,Bank transfer,Yes
CUST109541,14.0,43.19,Month-to-month,Fiber optic,Credit card,No
CUST109018,4.0,80.07,Month-to-month,No,Mailed check,No
CUST109386,5.0,119.46,One year,No,Credit card,No
CUST104982,27.0,41.73,Month-to-month,No,Mailed check,No
CUST105752,16.0,20.95,Two year,No,,No
CUST101188,22.0,90.49,Month-to-month,Fiber optic,Credit card,No
CUST101821,15.0,60.57,Month-to-month,No,Bank transfer,No
CUST103501,15.0,30.87,Two year,DSL,Electronic check, yes
CUST107733,16.0,71.89,One year,Fiber optic,Mailed check,No
CUST102027,6.0,31.18,Month-to-month,Fiber optic,Bank transfer,No
CUST104443,4.0,60.59,Month-to-month,DSL,,No
CUST101885,N/A,89.89,Month-to-month,Fiber optic,Electronic check,No
CUST100901,49.0,60.87,Month-to-month,No,Bank transfer,No
CUST106150,38.0,100.08,Month-to-month,DSL,Electronic check,Yes
CUST107828,14.0,106.45,One year,Fiber optic,Mailed check,No
CUST108998,14.0,85.37,Two year,No,Credit card,Yes
CUST104406,77.0,53.1,Month-to-month,No,Mailed check,No
CUST107319,,106.92,Two year,Fiber optic,Bank transfer,No
CUST105084,31.0,78.08,Month-to-month,Fiber optic,Credit card,No
CUST106341,11.0,93.63,Two year,,Mailed check,No
CUST102259,7.0,22.7,One year,Fiber optic,Mailed check,Yes
CUST107565,33.0,61.99,Month-to-month,No,Mailed check,No
CUST109978,12.0,76.05,Month-to-month,Fiber optic,,No
CUST104569,37.0,88.69,One year,DSL,Electronic check,No
CUST108361,10.0,38.19,Two year,DSL,Bank transfer,No
CUST100356,10.0,54.73,Two year,Fiber optic,Electronic check,No
CUST109135,26.0,83.1,Month-to-month,,Mailed check,No
CUST110526,34.0,23.18,One year,No,Mailed check,Yes
CUST100035,38.0,62.51,Month-to-month,No,Credit card,
CUST100032,11.0,72.55,Month-to-month,Fiber optic,Credit card,No
CUST110868,20.0,42.39,Month-to-month,DSL,Electronic check,NO 
CUST100299,8.0,,Two year,Fiber optic,Credit card,Yes
CUST105283,36.0,62.53,One year,No,Electronic check,No
CUST102802,16.0,27.42,One year,No,Electronic check,No
CUST101564,63.0,,Month-to-month,No,Electronic check,No
CUST109365,39.0,119.75,Two year,,Bank transfer,No
CUST100696,5.0,70.11,Two year,DSL,Electronic check,No
CUST101931,67.0,48.27,Month-to-month,DSL,Credit card,No
CUST101566,26.0,33.23,One year,DSL,Electronic check,No
CUST105551,20.0,39.56,Month-to-month,Fiber optic,Bank transfer,No
CUST102893,45.0,70.13,Month-to-month,DSL,Mailed check,No
CUST109184,44.0,109.54,month to month,No,Mailed check, yes
CUST109974,3.0,80.13,Month-to-month,DSL,Credit card,No
CUST104528,,105.15,Month-to-month,Fiber optic,Mailed check,No
CUST107222,55.0,51.7,Month-to-month,DSL,Mailed check,NO 
CUST106940,11.0,42.65,Month-to-month,DSL,Electronic check,No
CUST107603,23.0,89.98,,Fiber optic,Electronic check,No
CUST107938,27.0,51.83,Month-to-month,Fiber optic,Bank transfer,Yes
CUST102122,45.0,42.35,Month-to-month,No,Bank transfer,Yes
CUST102286,25.0,26.83,Two year,Fiber optic,Electronic check,No
CUST106758,59.0,22.97,Month-to-month,DSL,,Yes
CUST107830,N/A,25.46,Month-to-month,Fiber optic,,Yes
CUST107845,30.0,23.04,One year,DSL,Bank transfer,
CUST109868,6.0,86.54,One year,No, electronic check ,No
CUST110202,9.0,98.11,Month-to-month,No,Electronic check,No
CUST103393,14.0,unknown,One year,Fiber optic,Electronic check,No
CUST109664,20.0,53.43,Month-to-month,Fiber optic,Bank transfer,Yes
CUST100207,17.0,113.99,Month-to-month,DSL,Credit card,No
CUST102501,12.0,37.53,One year,No,Bank transfer,No
CUST107162,37.0,77.25,Month-to-month,Fiber optic,Electronic check,No
CUST106168,13.0,57.25,One year,Fiber optic,Mailed check,Yes
CUST108547,36.0,70.44,Two year,No,Mailed check,No
CUST101892,12.0,73.4,Two year,No,Mailed check,Yes
CUST104235,29.0,46.79,One year,Fiber optic,Electronic check,No
CUST109636,22.0,28.0,Month-to-month,DSL,Mailed check,No
CUST103205,11.0,unknown,Month-to-month,No,Bank transfer,Yes
CUST103237,46.0,71.65,Month-to-month,Fiber optic,Credit card,Yes
CUST103057,,42.48,Month-to-month,DSL,Bank transfer,No
CUST108848,19.0,31.87,Month-to-month,Fiber optic,Bank transfer,
CUST101906,9.0,92.15,Two year,Fiber optic, electronic check ,No
CUST102384,15.0,105.32,Month-to-month,DSL,Electronic check,No
CUST101582,12.0,93.24,Month-to-month,Fiber optic,Bank transfer,No
CUST108393,19.0,70.07,Month-to-month,Fiber optic,Mailed check,No
CUST100791,44.0,101.79,One year,DSL,Mailed check,Yes
CUST104719,27.0,42.69,Month-to-month,Fiber optic,Mailed check,No
CUST100178,19.0,32.63,Two year,No,Electronic check,Yes
CUST110971,45.0,67.77,Month-to-month,No,Credit card, yes
CUST108578,33.0,104.35,Month-to-month,Fiber optic,Mailed check,No
CUST103880,20.0,70.76,Month-to-month,DSL,Electronic check,No
CUST101576,57.0,58.4,One year,DSL,Credit card,Yes
CUST102120,,89.07,One year,Fiber optic,Credit card,NO 
CUST100938,29.0,unknown,Month-to-month,DSL,Mailed check,No
CUST105252,35.0,58.83,Month-to-month,DSL,Mailed check,Yes
CUST107624,21.0,62.76,One year,Fiber optic,Bank transfer,No
CUST105866,42.0,61.02,Month-to-month,DSL,,No
CUST102200,24.0,106.2,,Fiber optic,Mailed check,No
CUST106390,,88.66,One year,DSL,Mailed check,No
CUST101768,33.0,31.1,Month-to-month,DSL,Electronic check,
CUST101627,52.0,81.38,Month-to-month,No,Electronic check,No
CUST104148,,50.55,Month-to-month,Fiber optic,Electronic check,No
CUST110848,47.0,31.03,Month-to-month,No,Electronic check,Yes
CUST106139,45.0,73.01,Two year,Fiber optic,,No
CUST106406,24.0,31.88,month to month,DSL,Mailed check,Yes
CUST108656,31.0,39.53,,,Credit card,
CUST107311,12.0,54.52,Two year,Fiber optic,Mailed check,No
CUST106389,,71.62,One year,Fiber optic,Credit card,Yes
CUST101289,62.0,80.19,Month-to-month,No,Credit card,No
CUST110011,10.0,40.83,Month-to-month,Fiber optic,Mailed check,No
CUST106912,9.0,96.66,Month-to-month,Fiber optic,Credit card,No
CUST105794,30.0,113.95,One year,No,Electronic check,No
CUST103609,30.0,82.54,Two year,Fiber optic,Mailed check,Yes
CUST106699,27.0,116.64,Month-to-month,DSL,Mailed check,No
CUST104603,12.0,71.22,Two year,Fiber optic,Bank transfer,Yes
CUST101677,14.0,105.96,One year,No,Electronic check,No
CUST103731,8.0,55.76,Month-to-month,DSL,Mailed check,NO 
CUST104693,3.0,113.93,Month-to-month,DSL,Mailed check,No
CUST104131,7.0,58.49,Month-to-month,Fiber optic,Mailed check,
CUST110886,6.0,58.9,One year,DSL,Electronic check,Yes
CUST109187,,56.87,One year,No,Bank transfer,No
CUST108220,15.0,114.45,Month-to-month,Fiber optic,Bank transfer,No
CUST110392,20.0,79.06,One year,Fiber optic,Mailed check,Yes
CUST109033,10.0,43.42,Month-to-month,Fiber optic,Mailed check,No
CUST104791,12.0,,Month-to-month,Fiber optic,Electronic check,No
CUST100892,20.0,60.93,Month-to-month,No,Electronic check,No
CUST108936,21.0,77.72,Month-to-month,No,Electronic check,No
CUST105067,7.0,27.63,One year,DSL,Credit card,No
CUST103522,17.0,90.4,Month-to-month,DSL,Credit card,
CUST106608,30.0,110.91,Two year,Fiber optic,Electronic check,No
CUST101443,36.0,81.9,Month-to-month,No,Mailed check, yes
CUST108594,15.0,20.97,Month-to-month,No,Electronic check,Yes
CUST104434,34.0,,Month-to-month,Fiber optic,Bank transfer,No
CUST107540,14.0,72.65,One year,Fiber optic, electronic check ,Yes
CUST102439,25.0,36.71,Month-to-month,No,,Yes
CUST102184,12.0,48.74,Month-to-month,DSL,Electronic check,Yes
CUST105999,21.0,67.74,Month-to-month,DSL,Electronic check,Yes
CUST107707,10.0,45.83,Two year,No,Mailed check,
CUST101923,50.0,24.44,Month-to-month,Fiber optic,Credit card,
CUST104687,14.0,96.6,month to month,DSL,,No
CUST102923,8.0,115.43,Month-to-month,Fiber optic,Mailed check,No
CUST100102,16.0,89.03,One year,Fiber optic, electronic check ,Yes
CUST100075,5.0,40.12,Two year,Fiber optic,Electronic check,No
CUST107487,51.0,108.52,One year,DSL,Electronic check,No
CUST110732,34.0,57.83,Month-to-month,Fiber optic,Bank transfer,Yes
CUST108835,43.0,55.4,One year,Fiber optic,Credit card,No
CUST105062,25.0,97.2,Month-to-month,Fiber optic,Electronic check,No
CUST108467,,50.46,Month-to-month,DSL,Credit card,Yes
CUST109497,36.0,116.82,Two year,No,,
CUST110268,7.0,,Month-to-month,Fiber optic,Credit card,No
CUST110441,16.0,,Two year,DSL,Mailed check,
CUST105815,51.0,73.78,,No,Credit card,Yes
CUST108241,19.0,78.67,Month-to-month,No,Electronic check,No
CUST101440,19.0,83.14,Two year,Fiber optic,Credit card,No
CUST100889,,41.94,Month-to-month,DSL,Credit card,Yes
CUST102801,6.0,106.53,Month-to-month,DSL,Credit card,Yes
CUST102888,30.0,30.38,Month-to-month,,Mailed check,No
CUST107188,15.0,36.95,Month-to-month,No,Electronic check,No
CUST101883,23.0,108.45,Two year,Fiber optic,Bank transfer,No
CUST105438,9.0,45.19,Month-to-month,Fiber optic,Credit card,Yes
CUST106391,,36.81,One year,DSL,Mailed check,No
CUST106816,3.0,101.78,Two year,Fiber optic,Bank transfer,No
CUST107642,9.0,114.12,Month-to-month,Fiber optic,Credit card,No
CUST107074,7.0,56.58,Two year,DSL,Bank transfer,No
CUST103730,14.0,86.78,Month-to-month,Fiber optic,Mailed check,No
CUST100846,40.0,109.5,Two year,DSL,Credit card,No
CUST103714,15.0,72.72,One year,DSL,Credit card,No
CUST108426,43.0,73.5,Two year,No,,No
CUST102941,23.0,119.12,,,Credit card,No
CUST107771,17.0,29.02,Two year,Fiber optic,Electronic check,Yes
CUST107881,,75.96,Two year,Fiber optic,Bank transfer,Yes
CUST102039,24.0,95.22,Month-to-month,Fiber optic,Credit card,No
CUST102613,19.0,44.7,Month-to-month,DSL,Credit card, yes
CUST103733,8.0,75.5,Month-to-month,Fiber optic,Credit card,No
CUST110097,20.0,,Two year,No,Bank transfer,Yes
CUST103993,13.0,41.48,One year,DSL,Mailed check,Yes
CUST106089,19.0,51.29,Month-to-month,DSL,Bank transfer,No
CUST104100,24.0,69.46,Month-to-month,Fiber optic,Mailed check,Yes
CUST106046,13.0,34.22,Two year,Fiber optic,Electronic check,No
CUST100631,17.0,82.41,Month-to-month,Fiber optic,Bank transfer,Yes
CUST101909,0.0,45.56,Month-to-month,Fiber optic,Credit card,Yes
CUST105336,15.0,74.26,One year,DSL,Electronic check,No
CUST100181,17.0,103.37,Month-to-month,Fiber optic,Mailed check,No
CUST100099,,70.02,Month-to-month,Fiber optic,Mailed check,No
CUST106701,12.0,89.52,Month-to-month,Fiber optic,Bank transfer,
CUST110105,4.0,61.2,Two year,Fiber optic,Electronic check,Yes
CUST105073,,41.19,One year,Fiber optic,Credit card,Yes
CUST110777,18.0,109.97,Month-to-month,Fiber optic,,No
CUST101485,8.0,70.81,Two year,Fiber optic,Bank transfer,Yes
CUST102516,8.0,49.89,One year,Fiber optic,Bank transfer,No
CUST105513,60.0,75.7,Month-to-month,Fiber optic,Electronic check,Yes
CUST105557,0.0,98.88,One year,DSL,Mailed check,Yes
CUST110633,20.0,77.98,Month-to-month,Fiber optic,Electronic check,No
CUST103134,32.0,68.45,Two year,Fiber optic,Electronic check,No
CUST108807,14.0,84.3,Month-to-month,DSL,Credit card,No
CUST109983,9.0,84.57,,Fiber optic,Bank transfer,No
CUST107548,10.0,72.57,Month-to-month,DSL,Credit card,No
CUST106710,64.0,,One year,,Electronic check,
CUST107368,38.0,99.59,Month-to-month,Fiber optic,Credit card,No
CUST104798,6.0,47.31,,Fiber optic,Bank transfer,Yes
CUST100907,4.0,39.61,One year,DSL,Bank transfer,No
CUST104382,73.0,87.88,Two year,No,Mailed check,No
CUST105575,14.0,,Two year,Fiber optic,Credit card,No
CUST110532,37.0,117.78,Month-to-month,No,,Yes
CUST108816,20.0,54.17,One year,No,Credit card,No
CUST109055,21.0,116.41,Two year,Fiber optic,Electronic check,No
CUST101471,14.0,102.77,Month-to-month,Fiber optic,Mailed check,No
CUST108841,15.0,9999.0,One year,No,Bank transfer,No
CUST100547,31.0,49.63,Two year,DSL,Electronic check,No
CUST107119,10.0,29.66,month to month,Fiber optic,Mailed check,No
CUST101047,15.0,115.75,Month-to-month,Fiber optic,Bank transfer,No
CUST110840,18.0,114.55,Two year,Fiber optic,Credit card,No
CUST109423,73.0,56.01,One year,DSL,Bank transfer,No
CUST107006,7.0,43.65,Two year,Fiber optic,,No
CUST109932,9.0,93.89,One year,DSL,Bank transfer,No
CUST101911,6.0,48.02,Month-to-month,DSL,Mailed check,No
CUST107959,29.0,22.3,One year,DSL,Bank transfer,Yes
CUST102038,88.0,39.33,Month-to-month,Fiber optic,Mailed check,Yes
CUST107869,0.0,103.83,Month-to-month,Fiber optic,Mailed check,No
CUST110087,21.0,95.04,Month-to-month,DSL,Electronic check,No
CUST103056,11.0,94.1,Month-to-month,DSL,Bank transfer,No
CUST104836,10.0,118.04,month to month,Fiber optic,Bank transfer,No
CUST110852,43.0,108.27,Two year,No,Electronic check,Yes
CUST106212,3.0,,One year,,Credit card,No
CUST101344,7.0,24.04,Month-to-month,Fiber optic,,Yes
CUST108318,2.0,56.93,Two year,DSL,Bank transfer,Yes
CUST103751,20.0,83.35,,No,Electronic check,
CUST102231,16.0,88.28,One year,No,Mailed check,No
CUST103361,19.0,62.51,One year,Fiber optic,Electronic check,No
CUST100645,25.0,92.25,One year,DSL,Electronic check,Yes
CUST103557,15.0,45.05,One year,No,,No
CUST110564,36.0,,Month-to-month,Fiber optic,Credit card,Yes
CUST105797,9.0,50.04,Two year,Fiber optic,Mailed check,No
CUST108928,10.0,31.8,,No,Credit card,Yes
CUST107431,10.0,20.82,Month-to-month,Fiber optic,Credit card,Yes
CUST103365,21.0,110.52,Month-to-month,Fiber optic,Mailed check, yes
CUST109148,93.0,47.39,month to month,No,Bank transfer,No
CUST107415,62.0,100.48,,Fiber optic,Credit card,Yes
CUST110939,40.0,37.35,Month-to-month,Fiber optic,Electronic check,Yes
CUST103275,1.0,86.68,One year,Fiber optic,Mailed check,No
CUST107293,12.0,77.67,Month-to-month,Fiber optic,Credit card,Yes
CUST100119,6.0,93.91,Month-to-month,No,Mailed check,No
